score,title,likereview,dislikereview,country,rometype,intimelong,people,inrometime,reviewtime,help_vote,unhelp_vote
9.0,Short Break,"Not much, really enjoyed the stay.","Great location, close to lots of excellent restaurants. Easy to find, staff were very knowledgeable and efficient. Overall we would stay here again.",United Kingdom,Superior Double Room,4 nights ·,Couple,October 2021,20 October 2021,,
8.0,Great stay with improvements.,Everything else.,Ground floor room felt a little out the way with an underwhelming site of litter outside the window. Also noise from kitchen wasn't too welcoming.,United Kingdom,Deluxe Double Room,3 nights ·,Couple,October 2021,18 October 2021,,
8.0,Very good,The room was very small... I could open the curtains unless I climbed over the bed. The bathroom layout had going to the toilet quite awkward.,The cleanliness and attitude of the staff was class..,United Kingdom,Superior Double Room,2 nights ·,Solo traveller,October 2021,18 October 2021,1,
9.0,Excellent weekend,Nothing to mention,"Great service, very friendly staff. Excellent location with some great restaurants close by. The room was very clean, great facilities.",United Kingdom,Superior Double Room,2 nights ·,Couple,October 2021,17 October 2021,,
9.0,We were pleasantly surprised at the friendly and helpful staff.,"The room was very clean and the staff were very friendly, polite and helpful.",,United Kingdom,Superior Double Room,2 nights ·,Couple,October 2021,17 October 2021,,
9.0,great find,the hotel was in the perfect location for a concert at the Royal Albert Hall and there are lots of local pubs and restaurants!,"their restaurant wasn’t quite up and running (think they said 1st November?), so we ate and drank locally instead",United Kingdom,Deluxe Double Room,1 night ·,Couple,October 2021,17 October 2021,,
7.0,Good,Clean with friendly staff. Good location to the tube station and quiet. Comfortable bed and good working shower.Excellent room service meal which was wonderful after a very late check in. TV worked well. Would stay again for its location and staff.,Temperature of the room was cold on arrival. Took a few hours to reach a comfortable temperature.Wifi only worked at the dressing table area best. Breakfast wasn’t as good as the room service dinner. The Chicken tikka masala was excellent and Apple pie but the buffet breakfast was disappointing in comparison. Generally the staff were lovely and gave the place a nice atmosphere.,United Kingdom,Deluxe Double Room,1 night ·,Solo traveller,October 2021,17 October 2021,,
9.0,Just book it!!,"Possibly one of the best locations and neighborhoods for a great stay in London. The staff and everyone at reception were very pleasant and always helpful. I have to particularly mention Dorio, Mitul, Anna and Eies. I had a long stay and I most certainly will be making Park Grand Kensington my base in London. Book a triple room if you can just for more space, otherwise the club room (though small) is comfortable! I stayed in both.",,Nigeria,Deluxe Triple Room,5 nights ·,Solo traveller,October 2021,15 October 2021,,
7.0,"Good stay, will book again",The hotel was in a great location and the staff were friendly and helpful. Breakfast was good value for money and love how they provide bottled water and the little chocolates on the bed was a nice touch. The tea facilities in the room were handy and the kettle was clean inside as well.,"The cleaning of rooms needs improvement and not to my standard. The staff let me changed rooms and were all fine with it. Second room the bed still had a few hairs in it, better than my first room but noticed this is quite common with a lot of hotels. The shower wasn't as clean, needed a good scrub where the doors are and my toilet paper was wet. Also would have been nice if the bed had a mattress protector on it instead of a plain sheet.Also theirs a green light in the room that stays on so if you like to sleep in a black darkness room bring a eye mask",United Kingdom,Superior Double Room,3 nights ·,Solo traveller,October 2021,15 October 2021,,
9.0,Very Nice,"Very clean, staff very helpful and attentive, the hair dryer in the room was faulty advised the reception staff before breakfastAnd they had replace it by the time I got back to the room.",The break was a good choice but could offer fresh fruit.,United Kingdom,Superior Double Room,2 nights ·,Couple,October 2021,14 October 2021,,
9.0,Marvellous hotel,The staff were exceptional they even put a small bottle of wine and a card for my wife's birthday in the room. Had a fantastic meal in the hotel restaurant will definitely return.,N/A,United Kingdom,Deluxe Double Room,1 night ·,Couple,October 2021,14 October 2021,,
8.0,"Great stay, great staff. Will defo book again",Excellent location,"Lift, needs two.",Gibraltar,Deluxe Twin Room,3 nights ·,Couple,October 2021,14 October 2021,,
9.0,Superb,"Great location for all the Kensington sights and museums all within a 15/20 min work or a couple of tube stops if you’d rather travel that way. Staff all lovely! Breakfast good, good amenities in the room, comfy bed, underfloor heating in the bathroom.",Dropped something during my stay and was looking for it on the carpet. Noticed that it had probably been a while since it had been hoovered under the bed itself. That was the only negative the room was otherwise very clean as we overall had a great stay.,United Kingdom,Superior Double Room,2 nights ·,Family,October 2021,13 October 2021,,
8.0,Nice hotel,Clean hotel. Close to Earls Court tube station. Friendly staff,,United Kingdom,Deluxe Double Room,3 nights ·,Couple,October 2021,12 October 2021,,
7.0,"Excellent location, close to amenties and very helpful staff",Staff were very friendly and accomodating. Room was big and it was clean and very quiet. Big TV that had good quality picture and sound. I was given chocolates on my pillow whn I arrived and there were two bottles of water in the room which were added to the next day. I was even offered water to take with me when I checked out. There as a fridge in the room which was very useful as I hadn't paid for breakfast so I was able to go to a supermarket closeby to grab some fruit the night before.,,United Kingdom,Superior Double Room,2 nights ·,Solo traveller,October 2021,12 October 2021,,
7.0,Good,"Hotel was good value, clean and close to a tube station","The room was smaller than the photos, there was a green light (fire) in the room which was really bright and kept me awake for most of the night. We were told checkout was noon but at 9.20am we had housekeeping knocking on the door ready to clean when I queried checkout time he said he’d return in an hour",United Kingdom,Superior Double Room,2 nights ·,Couple,October 2021,11 October 2021,,
9.0,Perfect stay for a London Getaway,The staff were excellent. The room was spacious and extremely comfortable.,"The only minor complaint that I have is that we were in one of the lower floor rooms and the hotel WiFi did not work in there, and with no phone signal that was a little inconvenient.",United Kingdom,Deluxe Double Room,1 night ·,Couple,October 2021,11 October 2021,,
8.0,Very good,Comfortable bed and room. And very accessible to trains and tubes,Need more breakfast choices,United Kingdom,Deluxe Double Room,2 nights ·,Couple,October 2021,10 October 2021,,
9.0,Superb,Great location for easy access to museums and London being in very close proximity to Earls Court tube station.  The property was nice the rooms comfy and provided everything needed for a comfortable stay.  Rooms were cleaned every day with fresh towels provided.  Staff were very helpful and polite.  Nothing too much trouble.,Nothing,United Kingdom,Superior Double Room,3 nights ·,Couple,October 2021,10 October 2021,,
8.0,Great stay.,"Great location, clean, comfortable, very friendly staff.",Restaurant menu was very sparse and no child friendly options really. Was very clean and nice though. Plenty of other options very close by so wasn’t too big of an issue. Just would have been nice to not have to go out again.,United Kingdom,Superior Double Room,2 nights ·,Family,October 2021,9 October 2021,,
9.0,Superb,The staff and decoration comfotble matteress,The pillows I had a terrible nights sleep I asked for other pillows and I recieved lumpy flat pillows .,United Kingdom,Superior Double Room,1 night ·,Family,September 2021,7 October 2021,,
8.0,Excellent value for money and just what we wanted,"Excellent location, quiet room and comfortable bed and room temperature.",Would have been a bit small for longer than a few nights.,United Kingdom,Deluxe Double Room,3 nights ·,Couple,October 2021,7 October 2021,,
8.0,A happy discovery !,"Was looking for a one night stay in London to cover a theatre evening without rushing for train home. Found Park Grand near Earls Court and was surprised to find what looked like a very new building in a typical Earls Court Terrace of (former) grand apartments. 2 minutes walk to Earls Court Station. Reception staff very helpful, professional and friendly and we checked in around 1.45 pm to a lovely room, more spacious than I expected, excellent bath/shower/toilet and a comfortable chair (which is not always the case). Plus writing pad and pen which is even rarer. As well as coffee/tea facilities, hotel provided 2 small bottles of water-again, very much appreciated. We opted to enjoy leisurely breakfast next morning which was delivered in spacious restaurant area by very attentive staff and good buffet choices. Amazingly this was only £ 10 per person. As the hotel room was just £ 114 this represented excellent value for money and I've already booked my next one night's stay for a business meeting in November. Surprised also to find this small chain has about 10 properties in London.",Not even the weather needed improvement,United Kingdom,Superior Double Room,1 night ·,Couple,October 2021,6 October 2021,,
7.0,Great staff and service.  Nice hotel at a great location and at a reasonable price.,"Very nice shower. Mini fridge and safe were useful. Bed was comfortable, but see dislikes below.","The duvet is far too warm. With it I was too hot and sweating, but without it I was cold.The walls are not soundproof. One night someone in an adjacent room turned on the TV late at night.  It kept me awake until I finally put in earplugs. Very annoying.",United States,Deluxe Double Room,6 nights ·,Couple,September 2021,6 October 2021,,
7.0,Good,"Rooms were clean, well equipped and a decent size. Reception staff were a delight!","The login for the WiFi was hugely chauvinistic! Only Dr and Mrs, no Ms - this is 21st century UK. The breakfast was disappointing including the food choice, service and definitely the music…which was very bizarre!",United Kingdom,Club Double Room,3 nights ·,Couple,September 2021,5 October 2021,,
9.0,Superb,The staff were excellent. Room was very clean and comfortable. Food in the bar was great.,,United Kingdom,Superior Double Room,2 nights ·,Solo traveller,October 2021,4 October 2021,,
8.0,Very good,Location and staff,Bedroom a bit stuffy,United Kingdom,Superior Double Room,2 nights ·,Group,October 2021,4 October 2021,,
9.0,Really enjoyed our stay,"Really enjoyed our stay at the hotel, staff were really friendly, the whole place was nice and clean, from reception to the rooms. Room was spacious and had good facilities, shower was really nice.",No negatives,United Kingdom,Deluxe Double Room,3 nights ·,Couple,September 2021,3 October 2021,,
8.0,A good option in Earl's Court,"A good option in Earl's Court, a practical location for me. Staff were very pleasant, lent me an umbrella when it rained, and were generally responsive to any needs.",Breakfast was not great: one expects a decent English breakfast when in the UK!,Netherlands,Superior Double Room,4 nights ·,Solo traveller,September 2021,3 October 2021,,
8.0,London trip,The location was excellent. Staff helpful and friendly. Good breakfast.,Room was small . Not a varied menu in restaurant.,United Kingdom,Superior Double Room,2 nights ·,Couple,October 2021,1 October 2021,,
8.0,Brilliant stay would look to stay here in the future,Brilliant location and very very comfortable room. The hotel felt very safe for a single female traveller,The wifi was a bit hit and miss in the room,Guernsey,Club Double Room,3 nights ·,Solo traveller,September 2021,1 October 2021,,
8.0,Very good,"The location and staff were amazing. Good aircon in the room and the window could also be opened. Plenty changing points and water, tea/coffe, biscuits etc replenished daily when housekeeping attended. Staff at reception were super friendly and gave complimentary bottles of water when required.","The room wasn’t ready when we arrived and when we did get access there were still crumbs on the carpet, there was still a toothpaste stain in the bathroom cup and the grouting/sealing  in the shower has seen better days.The rooms weren’t very sound proofed and we could hear when next door were at the toilet, having a shower and being sick during the night.",United Kingdom,Deluxe Double Room,3 nights ·,Couple,September 2021,1 October 2021,,
9.0,Superb,Good mid level solution to a room in London,,United Kingdom,Deluxe Double Room,2 nights ·,Solo traveller,July 2021,30 September 2021,,
9.0,Superb,Staff where really lovely and welcoming,,United Kingdom,Superior Double Room,2 nights ·,Couple,September 2021,30 September 2021,,
9.0,"Amazing stay, amazing staff!","Fantastic location, very clean hotel and lovely rooms. Staff couldn’t have done enough for us! Wouldn’t hesitate to stay here again!",,United Kingdom,Deluxe Double Room,3 nights ·,Couple,September 2021,30 September 2021,,
8.0,"Friendly staff, great location, free room upgrade! Would definitely stay again.","The staff were exceptionally friendly and helpful. They kindly upgraded our room for free. The location was spot on and close to the underground. The free luggage storage is a real added bonus. The hotel felt safe with 24 hour reception. We loved our upgrade, and the bed was super comfy.","Superior room is not what you think. Club room is the better sized room. Downstairs rooms are below ground level and therefore dark with no fresh air. Breakfast was fresh but basic. Bedsheets in the first room were marked in places. The shower was great, with hot water &amp; good pressure, but needed some TLC in places. Also, the wallpaper was ripped in some areas and needs tidying up.",United Kingdom,Superior Double Room,2 nights ·,Couple,September 2021,28 September 2021,,
7.0,Good,"Great location, friendly staff and generously sized room",Extremely bright red standby light on television which lights up the room at night. Impossible to turn off or hide. Made it impossible to sleep comfortably.,United Kingdom,Superior Double Room,1 night ·,Solo traveller,July 2021,28 September 2021,,
8.0,Very good,Central location,Room was clean comfortable but small,United Kingdom,Superior Double Room,2 nights ·,Couple,September 2021,28 September 2021,,
9.0,Above and beyond!,"A lovely stay with Park Grand, I particularly loved the warm reception we received on arrival and how lovely they had set our room up for my birthday - the special touches and card really made my weekend! Thank you so much!",,United Kingdom,Superior Double Room,3 nights ·,Couple,September 2021,28 September 2021,,
9.0,Superb,The staff were very kind and even upgraded us free of charge. They also left chocolates a small wine bottle and some balloons in the room as we were celebrating a birthday. Will definitely be staying here again in the future.,Nothing,United Kingdom,Deluxe Double Room,1 night ·,Couple,September 2021,27 September 2021,,
9.0,Superb,Great staff and spotless,Nothing,United Kingdom,Superior Double Room,2 nights ·,Family,August 2021,27 September 2021,,
9.0,Superb,"Staff was friendly and helpful, allowed me to store luggage for a couple of days until I returned",Room was too small; not enough places to put luggage,United States,Club Double Room,1 night ·,Couple,September 2021,27 September 2021,,
9.0,London Hotel with attentive staff,Welcoming attitude of staff.Clean and tidy room.Lovely dinner and large breakfast.,Nothing,United Kingdom,Deluxe Double Room,1 night ·,Couple,September 2021,27 September 2021,,
9.0,Great  stay,Was upgraded lovely room,,United Kingdom,Superior Double Room,2 nights ·,Couple,September 2021,26 September 2021,,
9.0,Weekend break,Good breakfast.Good location.,,United Kingdom,Deluxe Twin Room,3 nights ·,Group,September 2021,26 September 2021,,
9.0,Superb,"Great location, 1 minute walk to the tube station which was great. Plenty of amenities nearby and still very quiet in the hotel. Lovely",,United Kingdom,Deluxe Double Room,2 nights ·,Couple,September 2021,23 September 2021,,
8.0,Very good,"Really well located hotel with clean rooms and helpful staff, who were very friendly. Good value for money and would definitely stay here again.","Tiny things like the key cards to our room having to be reset multiple times, and the air con unit being noisy, but these were very minor gripes.",United Kingdom,Superior Double Room,4 nights ·,Couple,September 2021,22 September 2021,1,
9.0,Superb,Friendly helpful staff,Nothing,United Kingdom,Deluxe Double Room,1 night ·,Couple,September 2021,22 September 2021,,
9.0,A lovely stay and pleasant surroundings.,The room was very well presented and had most of the facilities required. The room was clean and was serviced every day to a good standard. The Breakfast was very nice and the staff were very helpful.,"Although Tea and Coffee facilities were provided, there were no drinking glasses in the room. A hook to hang coats on would have been good too.",United Kingdom,Deluxe Double Room,3 nights ·,Couple,September 2021,21 September 2021,,
9.0,Superb,Modern clean friendly staff fab location,,United Kingdom,Deluxe Double Room,3 nights ·,Couple,September 2021,20 September 2021,,
9.0,Superb,"Excellent location, clean rooms",,United Kingdom,Superior Double Room,1 night ·,Group,September 2021,20 September 2021,,
9.0,Superb,Great location. Near to tube,,United Kingdom,Deluxe Double Room,1 night ·,Couple,September 2021,20 September 2021,,
8.0,Fantastic location and service,The staff were outstanding! Very polite and friendly and couldn’t have been more welcoming.,"Room could have been cleaner, but of dust in the bathroom etc. Nothing major, but only area of improvement.",United Kingdom,Superior Double Room,1 night ·,Couple,September 2021,19 September 2021,,
8.0,Great location,2 minutes from Earls Court tube yet quiet at night.  Microwave and fridge very handy.  Deluxe room not bad size for central London and cleaner was amazing.,"For a four star hotel not to have glasses in the room especially when you are gifted bottled water and have a fridge isn’t great.  The green light in the hallway kept waking me up, resorted to blue tacking part of the do not disturb sign to it to dim it then slept like a baby.",United Kingdom,Deluxe Double Room,4 nights ·,Couple,September 2021,18 September 2021,,
9.0,Wonderful,Loved the location although there was no parking. It’s very close to the tube station and just off the A4 so you don’t need to drive in too central. Not far from Paddington station only a few stops on the tube but Earl’s Court tube station is just at the end of the road. Lovely bars and plenty of great food near by and not too far from central London,The room was a bit small but very clean and comfy,United Kingdom,Deluxe Double Room,2 nights ·,Couple,July 2021,18 September 2021,,
9.0,Very happy with my stay,Lovely view. Comfortable bed. Helpful staff. Great location.,,United Kingdom,Superior Double Room,1 night ·,Couple,September 2021,18 September 2021,,
9.0,Great service,"Reception team were extremely helpful and friendly throughout my stay. Room got upgraded on check in and was fantastic, clean and quiet.",Had a few issues with key card not opening door - however this was promptly resolved by reception and maintenance team.,United Kingdom,Club Double Room,2 nights ·,Solo traveller,September 2021,17 September 2021,,
8.0,Very good,Location and breakfast was excellent,Water supply in shower on level 5 was not great,United Kingdom,Deluxe Double Room,1 night ·,Couple,September 2021,17 September 2021,,
9.0,Superb,Great hotel with easy access to central London. Lots of places to eat nearby.,N/A,United Kingdom,Deluxe Twin Room,2 nights ·,Group,September 2021,17 September 2021,,
9.0,Superb,Very professional and pleasant staff,Nothing everything was on point,Nigeria,Deluxe Double Room,3 nights ·,Solo traveller,August 2021,16 September 2021,,
9.0,Surprise room upgrade was perfect for our little weekend getaway!,We checked in very late but to our surprise we got a room upgrade.,The lift was quite slow,United Kingdom,Superior Double Room,3 nights ·,Couple,September 2021,16 September 2021,,
8.0,Very good,Staff was very helpful and efficient.the room was clean and comfy. Great location.,The price seemed a bit much for just the room as we didn't choose any food. Stair railing as breaks in it that have been taped round and not fixed. The room shape was a bit strange and felt a little.tight.,United Kingdom,Deluxe Double Room,2 nights ·,Couple,September 2021,16 September 2021,,
8.0,Great location,The food is great and the room was clean. Fabulous location near to earls court underground station. Staff are friendly,We got un upgraded root but it was in the basement no view and network service and the pillows were a bit smelly. We asked to change the room and everything was solved.,Saudi Arabia,Superior Double Room,5 nights ·,Family,September 2021,16 September 2021,,
7.0,"A great hotel for visiting London, lovely room too!",Great location!,We didn't have acceptable Wi-fi. Unable to work using laptop computer 😞,United Kingdom,Club Double Room,2 nights ·,Couple,September 2021,16 September 2021,,
7.0,Good,"Aesthetics were good, staff were friendly","Club Double Room, wasn’t expecting it to be two beds pushed together",United Kingdom,Club Double Room,1 night ·,Couple,September 2021,16 September 2021,,
9.0,Superb,"Amazing location, super close to the tube to get in to central but lots of restaurants and shops closer too! Staff were all very attentive and even left us some complimentary wine and chocolates which was very nice of them! Room was lovely and comfortable, great choice of toiletries. Didn’t eat in the restaurant however it looked lovely.",Check in was about an hour delayed however the staff were very apologetic for this! I feel our room wasn’t as clean as it could have been (a few hairs and water marks in the bathroom). However we loved the stay and would definitely stay again.,United Kingdom,Deluxe Double Room,2 nights ·,Couple,September 2021,16 September 2021,,
9.0,Can definitely recommend.,"Good location with nearly few restaurants, Tesco and not far from Olympia Centre. Friendly staff ready to assist. Room service was great as we were very tired and didn't want to go out.",I would say if you need a cab organise it yourself - the service that reception are using is a rip off unfortunately. I would advise to change the supplier as private cab should not cost you 2.5 times more than normal one.,United Kingdom,Deluxe Double Room,3 nights ·,Group,September 2021,15 September 2021,,
8.0,Lovely staff and great location.,Staff were very friendly and helpful. Bes was enormous and comfortable.,"Not enough teas, coffees etc. We had to request more as only had one English teabag each.",United Kingdom,Deluxe Double Room,4 nights ·,Couple,September 2021,15 September 2021,,
9.0,Superb,good breakfast and great location,room a bit small,United Kingdom,Superior Double Room,2 nights ·,Couple,September 2021,14 September 2021,,
8.0,Great stay,The property was in a great location and the room was very comfortable. Lots of friendly helpful staff.,,United Kingdom,Club Double Room,2 nights ·,Couple,August 2021,13 September 2021,,
9.0,Superb,"The room was very spacious, with AC, they upgraded for a triple room, staff was great and very nice. Everything was clean.","Nothing in specific, just a toilet brush missing and the mini bar was empty, but these are small things.",Portugal,Deluxe Double Room,1 night ·,Couple,September 2021,13 September 2021,,
8.0,Great location,Big comfortable bed.2 mins walk from EarlsCourt tube and some great little restaurants.Very helpful staff.,No bar.,United Kingdom,Superior Double Room,1 night ·,Couple,September 2021,13 September 2021,,
8.0,Great Hotel,"The location of the hotel is absolutely perfect as it’s right by Earl’s Court station so we found getting from the hotel to any of our destinations really quick! The staff are lovely are really accommodating, they looked after our bags before and after check in, they gave us free bottled water whenever we needed it and they always gave us service with a smile! The hotel itself has a very modern feel and it doesn’t feel like you’re staying at a “cheap” property.",The only thing we didn’t like was that our bed took up the majority of our room so we had to walk sideways to get to the other side of the bed and there was a gap between the bed and headboard so pillows kept falling down so we didn’t have the best sleep but neither of these things would put us off staying here again!,United Kingdom,Superior Double Room,2 nights ·,Couple,September 2021,13 September 2021,,
8.0,Very good,"Location was brilliant, staff were really friendly",Pressure for hot water was really poor so couldn’t shower,United Kingdom,Deluxe Double Room,3 nights ·,Family,September 2021,13 September 2021,,
9.0,A very pleasant stay in a lovely hotel,Location and facilities were excellent. Staff very friendly and helpful,,United Kingdom,Deluxe Double Room,3 nights ·,Solo traveller,September 2021,12 September 2021,,
9.0,Superb,"All staff really friendly and helpful, very clean and great value for money",,United Kingdom,Superior Double Room,2 nights ·,Family,September 2021,11 September 2021,,
9.0,Superb,"Staff were lovely, location is excellent, 1 min walk to Earls Court Station.",Nothing of note.,Ireland,Deluxe Double Room,2 nights ·,Solo traveller,September 2021,11 September 2021,,
8.0,Amazing,The location was just perfect. Had a great time and magical experience with my partner.,,United Kingdom,Superior Double Room,1 night ·,Couple,August 2021,11 September 2021,,
9.0,Superb,It exceeded all customer care values. It’s super clean and smells luscious. Staff were over and above helpful. Sad to leave. Food was great.,Nothing.,United Kingdom,Superior Double Room,5 nights ·,Couple,September 2021,10 September 2021,,
9.0,another fantastic stay.,Great property in a great location. management and team are all great. my 4th time there this year and 9 over past 4 yrs. looking forward to my next visit,inconsiderate guests banging doors.,United Kingdom,Deluxe Double Room,5 nights ·,Solo traveller,September 2021,10 September 2021,,
9.0,perfect location,"Rooms were spacious, comfy, clean and tube station is less than a minutes walk.",no shower gel but that’s a very minor detail and I can buy my own for a £1!,United Kingdom,Deluxe Double Room,5 nights ·,Couple,July 2021,10 September 2021,,
8.0,Very good,"The customer service, the staff were excellent.",,United Kingdom,Superior Double Room,1 night ·,Couple,August 2021,9 September 2021,,
9.0,Superb,,The sound of the floor being stepped on upstairs is very loud and disruptive to sleep,United Kingdom,Superior Double Room,1 night ·,Couple,September 2021,7 September 2021,,
8.0,"Flawless service,  comfortable room in a great greatl location but a few niggles..","Staff were excellent, room very comfortable great location and good aircon",Green LED light you couldn't switch off and WiFi that didn't seem to work,United Kingdom,Deluxe Double Room,1 night ·,Couple,September 2021,6 September 2021,,
9.0,Lovely hotel,Very clean hotel and the staff were super friendly. Very good location for museums and close to few tube stations.,Only one minor observation. Even when the bar/restaurant was quiet the staff seemed a little slow to serve. However I wasnt in any hurry personally and the service was very good when they did notice you. 😊,United Kingdom,Superior Double Room,2 nights ·,Solo traveller,September 2021,3 September 2021,,
9.0,Lovely staff great location,It was our wedding anniversary and the staff made it lovely with some very sweet gestures. They even left us a card it was so nice of them.,It was all nice,United Kingdom,Superior Double Room,2 nights ·,Couple,September 2021,3 September 2021,,
8.0,Very good,"Location, staff and clean","Lovely hotel. Staff were welcoming and friendly, especially with the little kids. Location is great for getting around with the Earls court station minutes away. So many food options with the busy high street around the corner but the hotel still feels quiet and away from too much noise.",United Kingdom,Deluxe Twin Room,3 nights ·,Family,September 2021,2 September 2021,,
8.0,An excellent stay - I will be back!!!,The staff were incredibly polite and helpful and went the extra mile to make our stay special. The gentleman on the front desk upgraded our room free of charge which was such a lovely gesture and made our stay even better! Couldn’t recommend anymore. Would definitely stay again!,,United Kingdom,Superior Double Room,1 night ·,Group,August 2021,2 September 2021,,
9.0,Exceeded expectation,"Lovely hotel .proffessional staff,superb attention to detail.",,United Kingdom,Superior Double Room,1 night ·,Family,September 2021,1 September 2021,,
9.0,Wonderful,Staff were exceedingly helpful &amp; courteous.Bed was heavenly.,Internet,United Kingdom,Superior Double Room,2 nights ·,Couple,August 2021,1 September 2021,,
8.0,Overall exceptional,"Location is ideal right next to the tube, plenty of food places about. Staff were extremely helpful &amp; welcoming even when I had questions. I will be returning!",Bedside lights I couldn’t seem to turn off at night without shutting everything off. The edging round the bathroom/shower could do with a refresh but it was exceptional apart from that.,United Kingdom,Deluxe Double Room,3 nights ·,Solo traveller,August 2021,31 August 2021,,
9.0,Superb,"Amazing room ,  lovely atmosphere and very good staff",,United Kingdom,Superior Double Room,1 night ·,Family,August 2021,31 August 2021,,
8.0,Happy to go back again in the near future!,"Staff very attentive, room clean and comfortable. Location excellent for the museums. Nice continental breakfast in the morning.","Only complaint about the room was that the pillows were rather hard and flat and the shaver socket was not connected.Evening meal in the restaurant was disappointing both in terms of cost, selection and flavour. The menu offered online is not the one presented at the table. Paying £21.50 in advance based on the advertised menu but when sat down the menu was £15.99 - we were offered a few chicken dishes in addition. I was told that the restaurant is not owned by the hotel.",United Kingdom,Deluxe Twin Room,2 nights ·,Couple,August 2021,30 August 2021,,
8.0,Very good,The staff were super friendly and so so lovely to us.,The bedroom was a lot smaller than imagined/pictured.,United Kingdom,Superior Double Room,2 nights ·,Couple,August 2021,30 August 2021,,
8.0,Very good,Staff were very friendly and helpful. They upgraded us upon arrival as a gesture of good will for our anniversary. Rooms were clean and a great location!,"It wasn’t made clear that if you wanted your room cleaned, you had the press the maids button so it turned green. We were unaware of this and therefore put all dirty towels on the floor. After being out all day, we came back to our room to realise it hadn’t been cleaned. I think this should be made more obvious.",United Kingdom,Superior Double Room,2 nights ·,Couple,August 2021,30 August 2021,,
8.0,Nice stay,I like how modern the room was and the upgrade they gave us,After being out all day we arrived back to the room about 3/4 pm amd the room had not yet been cleaned,United Kingdom,Deluxe Double Room,3 nights ·,Couple,August 2021,30 August 2021,,
9.0,Girls night,Love that there was a fridge and microwave.Really good location and very good value for money,Very small and cramped,United Kingdom,Superior Double Room,1 night ·,Group,August 2021,30 August 2021,,
9.0,Tower of London and Kensington palace trip,Very polite welcoming staff and comfortable beds. Would definitely stay again,No dislikes,United Kingdom,Superior Double Room,1 night ·,Family,August 2021,30 August 2021,,
8.0,A good two days in London,Hotel staff where absolutely fantastic.Always helpful to us.,The hotel is looking old and so are the rooms.The room needed  a repaint and the bathroom is looking tired as well.,United Kingdom,Deluxe Twin Room,2 nights ·,Group,August 2021,29 August 2021,,
9.0,Superb,"Staff, location, rooms and bathrooms - a small but perfectly nice hotel with great staff, good rooms with good bathrooms, all very clean and tidy, in a quiet location but only less than 5 minutes from Earls Court tube. Great value.","I’d have liked more choice of tea and coffee in the room, is about all.",United Kingdom,Superior Double Room,1 night ·,Family,August 2021,28 August 2021,,
9.0,perfect,"We travelled for a belated birthday occasion, when the staff found out they went above and beyond our expectations decorating the room and leaving a gift which was unexpected and very nice. Our room was upgraded to a larger one.The breakfast was very good and we would recommend this to our family and friends.",,United Kingdom,Superior Double Room,1 night ·,Couple,July 2021,28 August 2021,,
8.0,Very good,"Clean, amazing staff, good location",The carpets were slightly dirty looking but maybe it was the colour,United Kingdom,Superior Double Room,2 nights ·,Couple,August 2021,28 August 2021,,
9.0,Beautiful stay,Very clean rooms where lovely had breakfast and dinner and very good value,Not informed to put the light on to get housekeeping,United Kingdom,Superior Double Room,4 nights ·,Family,August 2021,27 August 2021,,
9.0,"Excellent hotel, friendly helpful staff and close to transport links","The room was very comfortable and bathroom was spacious. It was a bonus having a microwave in the room. Location was excellent, very close to Earls Court station and easy walk to Kensington too.",Wifi was a little problematic especially in the mornings. Would have liked some glasses in the room.,New Zealand,Deluxe Twin Room,3 nights ·,Family,August 2021,26 August 2021,,
9.0,Great location,Close to tube station but quiet. Earls Court tube took us everywhere we wanted to go easily.Staff were friendly and super helpful. Hotel was clean and comfortable . A great place to stay.,,United Kingdom,Superior Double Room,2 nights ·,Group,August 2021,26 August 2021,,
9.0,Superb,Location great,,United Kingdom,Superior Double Room,2 nights ·,Couple,August 2021,26 August 2021,,
8.0,"Friendly, welcoming hotel.",Loved the friendly staff.  We got an upgrade which was fantastic.  My grandson received a cuddly teddy and a pack with activities. Excellent location.,,United Kingdom,Deluxe Double Room,1 night ·,Family,August 2021,26 August 2021,,
9.0,Superb,Close to tube and shops around,Needed decaf tea in the restaurant,United Kingdom,Superior Double Room,1 night ·,Family,August 2021,26 August 2021,,
8.0,Very good,Really enjoyed our stay. It was very good value for money and the staff were lovely.,The room doors bang when they close so it can be slightly noisy in the morning when people are leaving their rooms.,United Kingdom,Superior Double Room,3 nights ·,Couple,August 2021,26 August 2021,,
9.0,Would have no hesitation in staying again,"Excellent room, quiet and clean - all we could ask for",,United Kingdom,Deluxe Double Room,3 nights ·,Couple,August 2021,26 August 2021,,
9.0,"Pleasant stay, close to Earls Court tube.","Clean, well lit room, good breakfast.",,United Kingdom,Superior Double Room,2 nights ·,Group,August 2021,26 August 2021,,
8.0,will stay again!,all excellent.,mini bar/fridge was empty,United Kingdom,Superior Double Room,1 night ·,Family,August 2021,25 August 2021,,
9.0,Enjoyable stay,"The staff where very helpful, the location great for easy access to trains etc, there are a number of restaurants in the locality to suit all needs.",,United Kingdom,Deluxe Double Room,2 nights ·,Couple,August 2021,25 August 2021,,
9.0,Superb,Had a coMfortable stAy.,,United Kingdom,Deluxe Double Room,2 nights ·,Couple,July 2021,24 August 2021,,
